名称,类型,说明
`Round`,`int`,第几轮游戏
`CountPlate`,`int`,圆盘个数，跟题目参数一致
`CountBestMov`,`int`,最佳移动次数，跟题目参数一致
`CountActMov`,`int`,实际移动次数
`CountErrMov`,`int`,无效移动次数
`CountRemMov`,`int`,成功解答所需剩余移动次数
`ACC`,`int`,是否成功解答题目，成功记录为1，不成功记录为0
`PlanTime`,`int`,策略时间，即从题目展示到移动第一个圆盘所用时间，单位为毫秒
`Time`,`int`,完成题目所用全部时间（包含策略时间），单位为毫秒
