名称,类型,说明
`NCand`,`int`,备选物体数目，目前定为30
`STIM`,`char`,需查找的物体名称
`Resp`,`char`,用户的实际选择的物体
`ACC`,`int`,用户作答是否正确，1=正确，0=错误
`RT`,`int`,用户作答所用时间（单位：毫秒）
