名称,类型,说明
`SLen`,`int`,当前试次需要记忆的方块个数。
`CResp`,`char`,正确的方块位置（Correct Response），用逗号分隔不同位置
`Resp`,`char`,用户的实际反应（Response），用逗号分隔不同位置
`ACC`,`int`,正确或错误(ACCuracy)，0=错误，1=正确。
`RT`,`int`,用户完成操作所需时间（单位：毫秒）(Response Time)
