名称,类型,说明
`ACC`,`int`,正确或错误(ACCuracy)，0=错误（用户在秒表启动前操作），1=正确（用户在秒表启动后成功操作），-1=未完成操作。
`RT`,`int`,用户完成操作所需时间（单位：毫秒）(Response Time)，若提前操作或未完成操作，则记为0
