id,name,task,cresp
1,桌子,Size,Left
2,飞机,Size,Left
3,大象,Size,Left
4,狮子,Size,Left
5,铅笔,Size,Right
6,杯子,Size,Right
7,蚂蚁,Size,Right
8,蝴蝶,Size,Right
1,桌子,Life,Left
2,飞机,Life,Left
3,大象,Life,Right
4,狮子,Life,Right
5,铅笔,Life,Left
6,杯子,Life,Left
7,蚂蚁,Life,Right
8,蝴蝶,Life,Right
