名称,类型,说明
`SLen`,`int`,当前轮次需要记忆的蝴蝶隐藏位置个数。
`Sym`,`char`,当前轮次先后出现的蝴蝶是否对称，和序列中的`sym`保持一致。
`Loc`,`char`,当前轮次正确的蝴蝶隐藏位置顺序，也就是把呈现的位置编号拼在一起组成的字符串（16个位置使用十六进制数字表示）。和序列中的`loc`保持一致。
`RespSym`,`char`,用户对称判断的实际反应，使用由`n`（不对称），`s`（对称）或`-`（未操作）拼在一起的字符串表示。
`RespLoc`,`char`,用户对蝴蝶位置的实际反应，即把用户实际点击的位置直接拼在一起组成的字符串，其中选择“忘记”的使用符号“-”表示，例如“1f-”就表示第三次用户选择了“忘记”。
`AccSym`,`char`,用户对称判断是否正确，0=错误（未作答也记为错误），1=正确。例如“110”表示前两个对了，最后一个错了。
`AccLoc`,`char`,记录每个隐藏位置是否选择正确或错误，0=错误（选择“忘记”的也记为错误），1=正确。例如“110”表示前两个对了，最后一个错了。
`RT`,`int`,用户完成操作所用时间（单位：毫秒）(Response Time)。
