名称,类型,说明
`Run`,`char`,轮数，即`R1`、`R2`或`R3`，同序列配置
`Type`,`char`,规则，即`add`或`minus`，同序列配置
`Left`,`int`,左侧数字，同序列配置
`Right`,`int`,右侧侧数字，同序列配置
`CResp`,`int`,正确答案
`Resp`,`int`,用户选择的选项
`ACC`,`int`,是否正确。正确为1，错误为0
`RT`,`int`,作答时间。以毫秒为单位
