名称,类型,说明
`Round`,`int`,本任务有轮次的概念，此处记录当前在第几个轮次
`Times`,`int`,尝试次数，简单和普通难度均只能为1，困难难度下可为1-3
`ACC`,`int`,用户是否顺利完成任务（ACCuracy），且0=错误，1=正确，-1=超过限制时间
`RT`,`int`,用户完成操作所需时间（单位：毫秒）（Response Time）
