名称,类型,说明
`MSize`,`int`,当前试次的所有方块个数（方块矩阵大小）
`SLen`,`int`,当前试次需要记忆的方块个数
`CResp`,`char`,正确的方块位置，用连字符（`-`）分隔不同位置
`Resp`,`char`,用户的实际反应，用连字符（`-`）分隔不同位置
`NCQT`,`int`,正确作答的方块数目
`RT`,`int`,用户完成操作所用时间（单位：毫秒）
