名称,类型,说明
`SLen`,`int`,当前轮次需要记忆的动物位置个数。
`SIDReal`,`char`,当前轮次所有动物的编号顺序，编号之间使用连字符（即`-`）进行分隔。
`SLocReal`,`char`,当前轮次正确的动物位置编号顺序，和`SIDReal`一一对应，编号之间使用连字符（即`-`）进行分隔。
`SIDResp`,`char`,用户实际作答的动物编号顺序，编号之间使用连字符（即`-`）进行分隔。
`SLocResp`,`char`,用户实际作答的动物位置编号顺序，和`SIDResp`一一对应，编号之间使用连字符（即`-`）进行分隔。
`AccLoc`,`char`,用户作答正确或错误，0=错误，1=正确。例如“1-1-0”表示前两个对了，最后一个错了。
`RT`,`int`,用户完成操作所用时间（单位：毫秒）。
