名称,类型,说明
`SLen`,`int`,当前试次需要追踪的点数
`DLen`,`int`,当前试次干扰点的个数
`ACC`,`int`,正确或错误(ACCuracy)，0=错误，1=正确。
`RT`,`int`,用户完成操作所需时间（单位：毫秒）(Response Time)
