名称,类型,说明
`Round`,`int`,本任务有轮次的概念，此处记录当前在第几个轮次
`order`,`char`,"声音（A）和视觉（V）的呈现顺序，包含两种可能：'AV', 'VA'"
`Interval`,`int`,两种刺激呈现的时间间隔（单位：毫秒）
`CResp`,`char`,"正确的反应(Correct Response），包含两种可能：'AV', 'VA'"
`Resp`,`char`,"用户的实际反应(Response)，包含两种可能：'AV', 'VA'"
`ACC`,`int`,正确或错误(ACCuracy)，0=错误，1=正确
`RT`,`int`,用户完成操作所需时间（单位：毫秒）(Response Time)
