名称,类型,说明
`IID`,`long int`,题目的ID，跟题库里的保持一致
`CResp`,`int`,正确答案
`Resp`,`int`,用户的实际选择，若未作答记录为-1
`ACC`,`int`,用户作答是否正确，1=正确，0=错误，-1=未作答
`RT`,`int`,用户作答所用时间（单位：毫秒）(Response Time）
